pokemon_type_2,high_point,attack_force,defense_point,special_attack_force,special_defense_point,speed,generation,legendary,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,base_egg_steps,base_happiness,base_total,capture_rate,percentage_male,experience_growth,height_m,weight_kg,pokedex_number,pokemon_type_1
Poison,45,49,49,65,65,45,1,0,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,5120,70,318,45,88.1,1059860,0.7,6.9,1,Grass
Poison,60,62,63,80,80,60,1,0,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,5120,70,405,45,88.1,1059860,1,13,2,Grass
Poison,80,82,83,100,100,80,1,0,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,5120,70,625,45,88.1,1059860,2,100,3,Grass
NULL,39,52,43,60,50,65,1,0,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,5120,70,309,45,88.1,1059860,0.6,8.5,4,Fire
NULL,58,64,58,80,65,80,1,0,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,5120,70,405,45,88.1,1059860,1.1,19,5,Fire
Flying,78,84,78,109,85,100,1,0,0.25,1,1,2,0.5,0.5,0.5,1,1,0.25,0,1,1,1,1,4,0.5,2,5120,70,634,45,88.1,1059860,1.7,90.5,6,Fire
NULL,44,48,65,50,64,43,1,0,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,70,314,45,88.1,1059860,0.5,9,7,Water
NULL,59,63,80,65,80,58,1,0,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,70,405,45,88.1,1059860,1,22.5,8,Water
NULL,79,83,100,85,105,78,1,0,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,70,630,45,88.1,1059860,1.6,85.5,9,Water
NULL,45,30,35,20,20,45,1,0,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,3840,70,195,255,50,1000000,0.3,2.9,10,Bug
NULL,50,20,55,25,25,30,1,0,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,3840,70,205,120,50,1000000,0.7,9.9,11,Bug
Flying,60,45,50,90,80,70,1,0,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,3840,70,395,45,50,1000000,1.1,32,12,Bug
Poison,40,35,30,20,20,50,1,0,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,3840,70,195,255,50,1000000,0.3,3.2,13,Bug
Poison,45,25,50,25,25,35,1,0,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,3840,70,205,120,50,1000000,0.6,10,14,Bug
Poison,65,90,40,45,80,75,1,0,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,3840,70,495,45,50,1000000,1,29.5,15,Bug
Flying,40,45,40,35,35,56,1,0,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,3840,70,251,255,50,1059860,0.3,1.8,16,Normal
Flying,63,60,55,50,50,71,1,0,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,3840,70,349,120,50,1059860,1.1,30,17,Normal
